epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
169,142.06,0.97894,0.89241,1.60071,0.85522,0.80223,0.86874,0.60873,1.00096,1.15053,1.79103,0.0083368,0.0083368,0.0083368
170,142.724,1.01117,0.97937,1.63061,0.53823,0.494,0.54837,0.38614,1.10352,2.24733,1.84617,0.0083269,0.0083269,0.0083269
171,143.386,0.98876,0.92342,1.59469,0.92189,0.88866,0.97125,0.69742,1.02764,0.72912,1.78889,0.008317,0.008317,0.008317
172,144.086,0.97718,0.90582,1.61881,0.95904,0.88889,0.9738,0.72148,1.04106,0.73158,1.79984,0.0083071,0.0083071,0.0083071
173,144.861,0.95351,0.9327,1.59334,0.89421,0.9015,0.96512,0.70981,1.03747,0.72478,1.78361,0.0082972,0.0082972,0.0082972
174,145.53,0.98767,0.91244,1.64689,0.85241,0.95333,0.91951,0.68251,1.02078,0.94372,1.74684,0.0082873,0.0082873,0.0082873
175,146.175,0.99059,0.92961,1.58749,0.73945,0.9656,0.91452,0.67167,1.01273,0.99049,1.70951,0.0082774,0.0082774,0.0082774
176,146.86,0.99336,0.85738,1.60559,0.8597,0.82556,0.90594,0.69407,0.97607,0.90788,1.69483,0.0082675,0.0082675,0.0082675
177,147.499,1.01869,0.89138,1.61346,0.83551,0.96654,0.98634,0.78272,0.88566,0.62273,1.60509,0.0082576,0.0082576,0.0082576
178,148.187,1.02025,0.93221,1.64943,0.54592,0.92235,0.71685,0.55187,0.90916,1.34301,1.65728,0.0082477,0.0082477,0.0082477
179,148.828,0.97936,0.92323,1.60506,0.63188,0.93341,0.84347,0.64591,0.92349,1.10589,1.65783,0.0082378,0.0082378,0.0082378
180,149.496,1.02106,0.90432,1.6586,0.6925,0.80137,0.78924,0.58893,0.8989,1.32413,1.61535,0.0082279,0.0082279,0.0082279
